County,Female,Male
Alachua,129358,121339
Baker,12953,14297
Bay,86805,84956
Bradford,12160,15300
Brevard,283112,271167
Broward,923435,872879
Calhoun,6730,7998
Charlotte,85172,79755
Citrus,73794,68378
Clay,100873,96168
Collier,173068,167078
Columbia,33136,35010
Miami-Dade,1344743,1270667
Desoto,15114,19326
Dixie,7647,8796
Duval,455223,429591
Escambia,152822,149599
Flagler,53199,48481
Franklin,4982,6641
Gadsden,25402,22678
Gilchrist,8201,8823
Glades,5586,7200
Gulf,6510,9693
Hamilton,6205,8330
Hardee,12628,15055
Hendry,17856,20079
Hernando,92990,84325
Highlands,51436,48598
Hillsborough,664887,637974
Holmes,9404,10679
Indian River,73537,68209
Jackson,22463,27874
Jefferson,6958,7696
Lafayette,3515,5172
Lake,160785,150411
Lee,337374,322426
Leon,147352,133629
Levy,20801,20021
Liberty,3427,5207
Madison,9176,10338
Manatee,175789,164266
Marion,178481,163171
Martin,75838,74167
Monroe,34301,39283
Nassau,38709,37615
Okaloosa,94401,95139
Okeechobee,18572,21426
Orange,625431,608362
Osceola,152516,146941
Palm Beach,703363,659020
Pasco,249328,235313
Pinellas,482223,446510
Polk,319248,306984
Putnam,36683,35928
Saint Johns,107592,101760
Saint Lucie,147890,139998
Santa Rosa,79021,81485
Sarasota,203959,185952
Seminole,224862,211159
Sumter,53708,56969
Suwannee,21494,22879
Taylor,10250,12887
Union,5476,10317
Volusia,257823,245356
Wakulla,14005,17348
Walton,29049,30197
Washington,11631,13294
