County,2010
Florida,9.9
Alachua,7.4
Baker,12.8
Bay,7.9
Bradford,15.3
Brevard,6.9
Broward,12.2
Calhoun,9.5
Charlotte,6
Citrus,7.8
Clay,7.1
Collier,5.9
Columbia,10
DeSoto,11.4
Dixie,9.5
Duval,9.6
Escambia,9.6
Flagler,4.9
Franklin,17.2
Gadsden,15.2
Gilchrist,14.1
Glades,10.3
Gulf,5.9
Hamilton,18.4
Hardee,19.9
Hendry,9.3
Hernando,6.5
Highlands,9.7
Hillsborough,9.6
Holmes,10.3
Indian River,6.5
Jackson,20.8
Jefferson,16.2
Lafayette,16.2
Lake,5.9
Lee,6.9
Leon,6.5
Levy,14.1
Liberty,19.8
Madison,20.6
Manatee,7.2
Marion,8.8
Martin,5.7
Miami-Dade,22.1
Monroe,10.1
Nassau,9.4
Okaloosa,6.3
Okeechobee,11.1
Orange,9.4
Osceola,9.9
Palm Beach,7.7
Pasco,7.9
Pinellas,9
Polk,8.7
Putnam,14.6
Santa Rosa,7.5
Sarasota,8.1
Seminole,7.3
St. Johns,6.3
St. Lucie,8.8
Sumter,4.8
Suwannee,15.5
Taylor,13.8
Union,13.2
Volusia,8.4
Wakulla,9.8
Walton,8.4
Washington,8.9
