County,2002,2007,2010
Florida,16.7,16.6,17.1
Alachua,11,10.2,11.1
Baker,24,19.2,20.8
Bay,17.7,19.7,14.7
Bradford,20.3,23.1,22.5
Brevard,15.7,17.2,18.2
Broward,13.7,16.2,14.3
Calhoun,29.3,30.6,25.4
Charlotte,17.2,16.8,21.2
Citrus,23.1,19.1,21.1
Clay,16,12,15.5
Collier,11.3,15.5,18.8
Columbia,21.1,19,22.1
DeSoto,22.3,20.5,30.1
Dixie,26.2,15.6,36.1
Duval,13.4,16.2,19.8
Escambia,20.4,16.4,18.5
Flagler,17,14.1,20.3
Franklin,19.4,21.5,26.9
Gadsden,24.4,23.2,26.4
Gilchrist,19.9,19.7,22
Glades,21.5,18.3,30.8
Gulf,23,20.3,19.1
Hamilton,26.7,17.7,23.3
Hardee,27.7,20.7,23.3
Hendry,33.5,19.1,28.5
Hernando,21.9,19.2,21.3
Highlands,24.4,19.7,25.5
Hillsborough,14.3,18.6,16.2
Holmes,24.6,24.6,26.1
Indian River,19,16.8,19.2
Jackson,32.1,20.8,23.5
Jefferson,20.5,18.3,22.1
Lafayette,31.7,16.2,25
Lake,15.6,17.8,17.1
Lee,14.2,14.8,16.5
Leon,11.6,10.3,11.8
Levy,30,23.9,23
Liberty,33.1,24,22.5
Madison,23.8,21.4,17.4
Manatee,21.6,15.7,13.5
Marion,18.7,18.8,22.9
Martin,16.4,15.8,13.4
Miami-Dade,20.1,19.7,16.4
Monroe,13.5,17.9,13.3
Nassau,18.4,15.6,17.7
Okaloosa,13.9,14.1,11.5
Okeechobee,25.6,24.7,22.3
Orange,15.4,17.9,16.1
Osceola,19,18.9,18.6
Palm Beach,17.5,10.2,16
Pasco,20.4,18.9,19.2
Pinellas,13.4,15.2,16.3
Polk,21.7,18.9,19.3
Putnam,24.3,25.4,25.9
Santa Rosa,15.9,14,16.3
Sarasota,14.4,14.2,11.6
Seminole,8.9,13.4,15.6
St. Johns,12.9,14.8,13.3
St. Lucie,20.7,17.4,22.9
Sumter,17.9,13.9,17.9
Suwannee,26.9,21.8,24
Taylor,23.6,21.9,29
Union,17.6,15.1,25.3
Volusia,16.5,17.5,21.7
Wakulla,22.9,16.5,21.3
Walton,20.9,21.8,18.8
Washington,29.5,21.6,24.6
